,internalTaxonId,scientificName,name,language,main
13064,203658,Bothriechis lateralis,Coffee Palm Viper,English,True
13066,203659,Bothriechis marchi,March's Palm Pit Viper,English,True
13067,203660,Bothriechis nigroviridis,Black-speckled Palm Pit Viper,English,True
13070,203671,Porthidium ophryomegas,Slender Hognose Viper,English,True
13071,203723,Planorbella campanulata,Bellmouth Ramshorn,English,True
13072,203724,Amblema plicata,Threeridge,English,True
13073,203793,Agama boulengeri,Boulenger's Agama,English,True
13074,203794,Agama cristata,Insular Agama,English,True
13075,203796,Agama insularis,Insular Agama,English,True
13076,203801,Agama weidholzi,Gambia Agama,English,True
13077,203805,Trapelus schmitzi,Schmitz’ Agama,English,True
13078,203806,Baikia africana,West African Worm Lizard,English,True
13079,203807,Cynisca degrysi,Sierra Leone Worm Lizard,English,True
13080,203811,Cynisca leonina,Los Archipelago Worm Lizard,English,True
13081,203814,Cynisca liberiensis,Liberia Worm Lizard,English,True
13082,203817,Cynisca oligopholis,Cassine River Worm Lizard,English,True
13085,203820,Trioceros affinis,Beardless Ethiopian Montane Chameleon,English,True
13086,203821,Trioceros balebicornutus,Bale Two-horned Chameleon,English,True
13087,203822,Trioceros camerunensis,Cameroon Dwarf Chameleon,English,True
13088,203823,Trioceros conirostratus,Sudanese Unicorn Chameleon,English,True
13089,203824,Trioceros hanangensis,Mount Hanang Chameleon,English,True
13090,203825,Trioceros harennae,Harenna Hornless Chameleon,English,True
13091,203826,Trioceros kinetensis,Mount Kineti Chameleon,English,True
13094,203828,Trioceros perreti,Perret's Montane Chameleon,English,True
13095,203830,Hemitheconyx caudicinctus,Fat-tail Gecko,English,True
13096,203832,Cnemaspis africana,African Gecko,English,True
13098,203833,Cnemaspis gigas,Giant Forest Gecko,English,True
13099,203834,Cnemaspis occidentalis,Western Gecko,English,True
13101,203835,Cnemaspis petrodroma,Ondo Forest Gecko,English,True
13103,203840,Hemidactylus bouvieri,Bouvier's Leaf-toed Gecko,English,True
13104,203845,Hemidactylus matschiei,Togo Leaf-toed Gecko,English,True
13112,203879,Boa imperator,Central American Boa,English,True
13113,203884,Anolis garmani,Jamaican Giant Anole,English,True
13116,20411,Sorex samniticus,Appenine Shrew,English,True
13120,20429,Spalax giganteus,Giant Mole Rat,English,True
13122,20430,Spalax microphthalmus,Greater Blind Mole Rat,English,True
13125,20706,Stagnicola utahensis,Thickshell Pondsnail,English,True
13128,20707,Stagnicola bonnevillensis,Fat-whorled Pondsnail,English,True
13129,20854,Stiobia nana,Sculpin Snail,English,True
13132,20,Abronia montecristoi,Monte Cristo Arboreal Alligator Lizard,English,True
13134,21120,Stypodon signifer,Stumptooth Minnow,English,True
13140,21341,Takifugu niphobles,Grass Puffer,English,True
13142,21342,Takifugu poecilonotus,Finepatterned Puffer,English,True
13143,21343,Takifugu xanthopterus,Yellowfin Puffer,English,True
13144,21584,Telmatobius peruvianus,Peru Water Frog,English,True
13147,21736,Thermophis baileyi,Xizang Hot-spring Keel-back,English,True
13156,21981,Tomistoma schlegelii,False Gharial,English,True
13157,21994,Torquigener brevipinnis,Yellow-stripe Toadfish,English,True
13163,22091,Tribolonotus ponceleti,Giant Spiny Skink,English,True
13164,22151,Protobothrops cornutus,Horned Pit Viper,English,True
13167,22423,Tryonia brunei,Brune's Springsnail,English,True
13168,22425,Tryonia ericae,Minute Tryonia,English,True
13169,22593,Typhlatya monae,Mona Cave Shrimp,English,True
13174,2271,Ataeniobius toweri,Striped Goodeid,English,True
13178,22973,Villosa fabalis,Bean Mussel,English,True
13183,23116,Xenoophorus captivus,Relict Splitfin,English,True
13185,23155,Xiphophorus clemenciae,Yellow Swordtail,English,True
13187,23157,Xiphophorus gordoni,Northern Platyfish,English,True
13189,23158,Xiphophorus meyeri,Marbled Swordtail,English,True
13191,2593,Barkudia insularis,Madras Spotted Skink,English,True
13199,97358453,Batagur baska,Northern River Terrapin,English,True
13205,269,Acomys minous,Crete Spiny Mouse,English,True
13208,271,Acomys nesiotes,Cyprus Spiny Mouse,English,True
13211,29468,Anolis wermuthi,Wermuth’s Anole,English,True
13212,29479,Abronia frosti,Frost’s Arboreal Alligator Lizard,English,True
13217,19243030,Brachylophus fasciatus,Lau Banded Iguana,English,True
13222,29650,Erinaceus europaeus,Western European Hedgehog,English,True
13225,29655,Crocidura sicula,Sicilian Shrew,English,True
13229,2965,Brachylophus vitiensis,Fiji Crested Iguana,English,True
13233,29663,Sorex coronatus,Crowned Shrew,English,True
13237,29664,Sorex granarius,Iberian Shrew,English,True
13238,30311,Juniperus drupacea,Syrian Juniper,English,True
13242,30325,Cupressus dupreziana,Saharan Cypress,English,True
13249,30365,Widdringtonia cedarbergensis,Clanwilliam Cedar,English,True
13252,30375,Cupressus macrocarpa,Monterey Cypress,English,True
13256,30534,Pherosphaera fitzgeraldii,Dwarf Mountain Pine,English,True
13260,30535,Agathis atropurpurea,Blue Kauri Pine,English,True
13263,30536,Agathis microstachya,Atherton Kauri Pine,English,True
13267,30542,Callitris oblonga,Tasmanian Cypress-pine,English,True
13269,3070,Breviceps macrops,Desert Rain Frog,English,True
13273,46186032,Abies guatemalensis,Guatemalan Fir,English,True
13284,30724,Taxus globosa,Mesoamerican Yew,English,True
13286,30727,Quercus cedrosensis,Cedros Island Oak,English,True
13287,30732,Quercus hintonii,Encino prieto ,Spanish; Castilian,True
13290,30748,Betula raddeana,Radde's Birch,English,True
13291,30750,Microbiota decussata,Siberian Cypress,English,True
13292,88558975,Magnolia dealbata,Eleoxochitl,Spanish; Castilian,True
13294,30926,Fitzroya cupressoides,Patagonian Cypress,English,True
13296,30956,Quercus oglethorpensis,Oglethorpe Oak,English,True
13297,30959,Quercus tomentella,Island Oak,English,True
13302,30975,Pinus maximartinezii,Martinez Pinyon,English,True
13304,31053,Podocarpus affinis,Kuasi,Fijian,True
13305,31081,Juniperus blancoi,Táscate,Spanish; Castilian,True
13306,31086,Juniperus jaliscana,Cedro,Spanish; Castilian,True
13307,31236,Magnolia gustavii,Champi Doi,Thai,True
13310,31254,Calocedrus formosana,Taiwan Incense-Cedar,English,True
13315,31265,Amentotaxus formosana,Taiwan Catkin Yew,English,True
13318,31270,Picea brachytyla,Sargent's Spruce,English,True
13319,31274,Magnolia wilsonii,Xikang Yulan,Chinese,True
13322,31276,Picea neoveitchii,Veitch's Spruce,English,True
13325,31277,Picea aurantiaca,Orange Spruce,English,True
13328,31284,Liriodendron chinense,Chinese Tulip Tree,English,True
13334,31291,Pseudotsuga japonica,Japanese Douglas-fir,English,True
13337,31305,Platycladus orientalis,Oriental Arbor-vitae,English,True
13355,18625568,Cephalotaxus mannii,Mann's Yew Plum,English,True
13356,31331,Picea farreri,Farrer's Spruce,English,True
13358,31351,Podocarpus costalis,Igem-dagat,Tagalog,True
13363,31355,Araucaria araucana,Monkey Puzzle,English,True
13369,31359,Austrocedrus chilensis,Chilean Cedar,English,True
13371,31362,Abies kawakamii,Taiwan Fir,English,True
13375,31618,Juniperus saxicola,Sabina,Spanish; Castilian,True
13378,31852,Santalum album,Indian Sandalwood,English,True
13389,32019,Podocarpus parlatorei,Pino del Cerro,Spanish; Castilian,True
13390,32025,Alnus acuminata,Alder,English,True
13405,32030,Podocarpus salignus,Willow-leaf Podocarp,English,True
13410,32034,Nothofagus glauca,Hualo,Spanish; Castilian,True
13417,32042,Juniperus taxifolia,Luchu Juniper,English,True
13419,32052,Pilgerodendron uviferum,Guaitecas Cypress,English,True
13425,32053,Saxegothaea conspicua,Prince Albert's Yew,English,True
13426,32054,Athrotaxis cupressoides,Pencil Pine,English,True
13428,32055,Athrotaxis selaginoides,King William Pine,English,True
13436,32056,Aquilaria malaccensis,Agarwood,English,True
13439,32101,Abies fraseri,Fraser's Fir,English,True
13445,32239,Delonix baccal,Bakal,Somali,True
13452,32287,Prumnopitys harmsiana,Uncumanu,Spanish; Castilian,True
13454,32303,Carpinus putoensis,Puto Hornbeam,English,True
13468,32308,Pterocarpus macrocarpus,Burma Padauk,English,True
13470,32311,Cupressus cashmeriana,Bhutan Cypress,English,True
13474,32316,Cathaya argyrophylla,Yin Shan,Chinese,True
13480,32318,Abies beshanzuensis,Baishan Fir,English,True
13482,32327,Camellia grijsii,Changban Duanzhu Cha,Chinese,True
13485,32330,Cephalotaxus lanceolata,Gongshan Plum Yew,English,True
13488,32331,Cephalotaxus oliveri,Oliver's Plum Yew,English,True
13491,32333,Chamaecyparis formosensis,Taiwan Cypress,English,True
13499,32351,Chamaecyparis hodginsii,Fujian Cypress,English,True
13505,32364,Magnolia aromatica,Xiang Mulian,Chinese,True
13507,32378,Thuja sutchuenensis,Ya Bai Shu,Chinese,True
13509,32379,Torreya jackii,Jack's Nutmeg Tree,English,True
13516,32382,Aquilaria sinensis,Chinese Agarwood,English,True
13519,32384,Calocedrus macrolepis,Chinese Incense-cedar,English,True
13532,32423,Magnolia amoena,Tianmu Mulan,Chinese,True
13533,32424,Magnolia cylindrica,Huangshan Mulan,Chinese,True
13537,32426,Magnolia rostrata,Changhui Houpo,Chinese,True
13538,32427,Magnolia zenii,Baohua Yulan,Chinese,True
13539,32428,Magnolia grandis,Daguo Mulian,Chinese,True
13542,32457,Tsuga forrestii,Forrest's Hemlock,English,True
13550,32479,Picea chihuahuana,Chihuahua Spruce,English,True
13553,32501,Juniperus standleyi,Huitó,Spanish; Castilian,True
13559,32518,Cupressus sempervirens,Mediterranean Cypress,English,True
13565,32624,Pinus merkusii,Merkus's Pine,English,True
13575,32628,Pinus nelsonii,Nelson Pinyon Pine,English,True
13578,32629,Pinus pinceana,Weeping Pinyon Pine,English,True
13583,32630,Pinus greggii,Gregg’s Pine,English,True
13587,32631,Pinus culminicola,Potosi Pinyon Pine,English,True
13588,32762,Quercus depressipes,Davis Mountain Oak,English,True
13590,32798,Pseudotaxus chienii,Whiteberry Yew,English,True
13591,32803,Pinus dalatensis,Dalat Pine,English,True
13594,32804,Pinus krempfii,Krempf's Pine,English,True
13600,32814,Aquilaria crassna,Agarwood,English,True
13602,32836,Araucaria hunsteinii,Klinki Pine,English,True
13603,32870,Quercus convallata,Encino,Spanish; Castilian,True
13604,32899,Beilschmiedia kweo,Mkweo,Bantu (Other),True
13619,32947,Delonix regia,Flame Tree,English,True
13631,32975,Araucaria angustifolia,Parana Pine,English,True
13632,32996,Picea martinezii,Martinez's Spruce,English,True
13633,33003,Acer undulatum,baba akçaağacı,Turkish,True
13680,33025,Shorea farinosa,Temak Merah,Malay,True
13683,33026,Shorea gratissima,White Meranti,English,True
13691,33028,Shorea roxburghii,White Meranti,English,True
13692,33048,Diospyros crassiflora,Ebony,English,True
13713,33114,Shorea guiso,Red Balau,English,True
13725,33123,Shorea leprosula,Light Red Meranti,English,True
13751,33198,Cinnamomum parthenoxylon,Selasian Wood,English,True
13755,33217,Juniperus procera,African Pencil Cedar,English,True
13756,33220,Quercus aucheri,Bozpırnal,Turkish,True
13765,33275,Shorea faguetiana,Yellow Meranti,English,True
13770,33276,Shorea henryana,White Meranti,English,True
13775,33388,Hopea cordata,Sao hinh tim,Vietnamese,True
13777,33459,Shorea falcata,Chai la cong,Vietnamese,True
13785,33479,Hopea thorelii,Takhian Bai Yai,Thai,True
13788,33480,Shorea singkawang,Meranti Merah,English,True
13790,33483,Vatica philastraena,Tha lok,Thai,True
13791,33635,Quercus boyntonii,Boynton Oak,English,True
13799,33923,Pinus jaliscana,Jalisco Pine,English,True
13800,33924,Pinus rzedowskii,Rzedowski's Pine,English,True
13806,33989,Pinus luchuensis,Luchu Pine,English,True
13814,34004,Chamaecyparis lawsoniana,Port Orford Cedar,English,True
13815,34011,Quercus georgiana,Georgia Oak,English,True
13817,34019,Abies bracteata,Santa Lucia Fir,English,True
13818,34020,Quercus engelmannii,Engelmann Oak,English,True
13822,34023,Sequoiadendron giganteum,Giant Sequoia,English,True
13823,34025,Pseudotsuga macrocarpa,Big-cone Douglas-fir,English,True
13826,34026,Torreya californica,California Nutmeg,English,True
13831,34030,Quercus buckleyi,Buckley Oak,English,True
13833,34041,Taxus brevifolia,Pacific Yew,English,True
13837,34047,Cupressus bakeri,Baker Cypress,English,True
13839,34049,Picea breweriana,Brewer's Spruce,English,True
13841,34050,Pinus clausa,Sand Pine,English,True
13844,34051,Sequoia sempervirens,Redwood,English,True
13846,34053,Alnus maritima,Seaside Alder,English,True
13851,34058,Pinus muricata,Bishop Pine,English,True
13852,34064,Podocarpus dispermus,Broad-leaved Brown Pine,English,True
13855,34066,Podocarpus drouynianus,Emu Berry,English,True
13856,34069,Podocarpus globulus,Sapiro,Uncoded languages,True
13857,34070,Callitris acuminata,Dwarf Cypress,English,True
13859,34071,Callitris pyramidalis,Swan River Cypress,English,True
13861,34072,Callitris baileyi,Bailey's Cypress-pine,English,True
13863,34073,Callitris drummondii,Drummond's Cypress-pine,English,True
13865,34074,Callitris monticola,Steelhead,English,True
13866,34075,Callitris roei,Roe's Cypress-pine,English,True
13870,34079,Cupressus duclouxiana,Yunnan Cypress,English,True
13871,34083,Juniperus barbadensis,West Indies Juniper,English,True
13881,34084,Podocarpus guatemalensis,Ocotillo de Llano ,Spanish; Castilian,True
13887,34092,Podocarpus pallidus,Uhiuhi,Tonga (Tonga Islands),True
13889,34093,Podocarpus pendulifolius,Pino Carbón,Spanish; Castilian,True
13891,34094,Podocarpus purdieanus,Yacca,English,True
13892,34095,Podocarpus roraimae,Aiy-yek,South American Indian (Other),True
13894,34097,Podocarpus rusbyi,Pino Blanco,Spanish; Castilian,True
13897,34106,Podocarpus urbanii,Blue Mountain Yacca,English,True
13898,34107,Prumnopitys ladei,Mt Spurgeon Black Pine,English,True
13906,34110,Retrophyllum rospigliosii,Pino Hayuelo,Spanish; Castilian,True
13908,34111,Sciadopitys verticillata,Japanese Umbrella Pine,English,True
13910,34113,Amentotaxus assamica,Assam Catkin Yew,English,True
13911,34133,Juniperus convallium,Mi Zhi Yuan Bai,Chinese,True
13912,34134,Juniperus microsperma,Xiao Zi Yuan Bai,Chinese,True
13913,34138,Juniperus komarovii,Ta Zhi Yuan Bai,Chinese,True
13914,34140,Juniperus pingii,Ping's Juniper,English,True
13916,34141,Juniperus przewalskii,Przewalsi Juniper,English,True
13918,34146,Libocedrus plumosa,New Zealand Cedar,English,True
13923,34147,Widdringtonia schwarzii,Willowmore Cedar,English,True
13924,34152,Halocarpus kirkii,Monoao,Maori,True
13925,34153,Lagarostrobos franklinii,Huon Pine,English,True
13926,34154,Lepidothamnus fonkii,Chilean Rimu,English,True
13928,46347417,Nageia nagi,Naki,Japanese,True
13930,34162,Nothotsuga longibracteata,Bristlecone Hemlock,English,True
13932,34178,Picea retroflexa,Tapao Shan spruce,English,True
13935,34179,Picea torano,Tigertail Spruce,English,True
13938,34180,Pinus amamiana,Amami Pine,English,True
13945,34189,Pinus gerardiana,Gerrard's Pine,English,True
13950,34190,Pinus latteri,Tenasserim Pine,English,True
13951,34192,Pinus occidentalis,Hispaniolan Pine,English,True
13954,34200,Tsuga caroliniana,Carolina Hemlock,English,True
13958,34321,Agathis macrophylla,Fijian Kauri Pine,English,True
13962,34383,Picea morrisonicola,Taiwan Spruce,Chinese,True
13966,34416,Amentotaxus poilanei,Poilane's Catkin Yew,English,True
13968,34561,Aquilaria hirta,Karas bulu’,Malay,True
13970,34662,Quercus dumosa,Coastal Sage Scrub Oak,English,True
13972,34665,Quercus gravesii,Chisos Red Oak,English,True
13974,34683,Quercus toumeyi,Toumey Oak,English,True
13978,34885,Colvillea racemosa,Colville's Glory,English,True
13980,34962,Magnolia praecalva,Cham La,Thai,True
13981,34963,Magnolia officinalis,Houpo,Chinese,True
13982,34964,Magnolia lotungensis,Ledong Nidanxingmulan,Chinese,True
13983,34965,Magnolia sinica,Huagaimu,Chinese,True
13984,34966,Magnolia hypolampra,Xianngzi Hanxiao,Chinese,True
13986,34967,Magnolia odora,Tsong's Tree,English,True
13990,34968,Magnolia baillonii,Champa Pa,Thai,True
13991,35039,Quercus acerifolia,Maple-leaved Oak,English,True
13993,35600,Magnolia iltisiana,Ahuatoso,Spanish; Castilian,True
13995,35734,Coffea zanguebariae,Ibo coffee,English,True
13999,35764,Pinus tecunumanii,Schwerdtfeger's Pine,English,True
14002,35897,Aquilaria banaensis,Dó bà nà,Vietnamese,True
14006,35934,Prumnopitys andina,Lleuque,Spanish; Castilian,True
14042,36274,Dipterocarpus acutangulus,Yang bu kae,Thai,True
14044,37455,Magnolia yoroconte,Candelillo,Spanish; Castilian,True
14047,37555,Pinus henryi,Henry's Pine,English,True
14049,38283,Pinus squamata,Qiao Jia Wu Zhen Song ,Chinese,True
14053,38323,Prumnopitys exigua,Pino Colorado,Spanish; Castilian,True
14056,38324,Prumnopitys standleyi,Cipresillo,Spanish; Castilian,True
14057,38405,Magnolia sambuensis,Molinillo Guanabano,Spanish; Castilian,True
14067,38448,Beccariophoenix madagascariensis,Manarano,Malagasy,True
14070,38452,Borassus madagascariensis,Dimaka,Malagasy,True
14073,38517,Dypsis ampasindavae,Lavaboka,Malagasy,True
14074,38520,Dypsis arenarum,Hirihiry,Malagasy,True
14077,38526,Dypsis ceracea,Lafaza,Malagasy,True
14079,3852,Carcharhinus obscurus,Dusky Shark,English,True
14083,38532,Dypsis decipiens,Manambe Palm,English,True
14089,38543,Dypsis madagascariensis,Herihery,Malagasy,True
14091,38544,Dypsis malcomberi,Rahosy,Malagasy,True
14094,38545,Dypsis mananjarensis,Ovodaafa,Malagasy,True
14095,38548,Dypsis nauseosa,Lafa,Malagasy,True
14109,3855,Carcharodon carcharias,White Shark,English,True
14113,38568,Dypsis utilis,Vonitra,Malagasy,True
14118,38622,Orania longisquama,Sindroa,Malagasy,True
14119,38625,Orania trispatha,Sindro,Malagasy,True
14124,38664,Ravenea albicans,Hoza-tsiketra,Malagasy,True
14126,38670,Ravenea lakatra,Manara,Malagasy,True
14127,38672,Ravenea louvelii,Lakamarefo,Malagasy,True
14128,38673,Ravenea madagascariensis,Anivona,Malagasy,True
14132,38713,Veitchia joannis,Joannis Palm,English,True
14137,38737,Dypsis ambositrae,Hovotra,Malagasy,True
14138,38855,Magnolia calimaensis,Almanegra del Calima,Spanish; Castilian,True
14139,38856,Magnolia calophylla,Cucharillo de Barbacos ,Spanish; Castilian,True
14140,38857,Magnolia cararensis,Almanegra de Tama,Spanish; Castilian,True
14142,38858,Magnolia colombiana,Almanegra,Spanish; Castilian,True
14143,38859,Magnolia guatapensis,Almanegra de Guatape,Spanish; Castilian,True
14144,38861,Magnolia mahechae,Laurel Almanegra,Spanish; Castilian,True
14145,38862,Magnolia urraoensis,Almanegra de Urrao,Spanish; Castilian,True
14148,38863,Magnolia yarumalensis,Almanegra de Yarumal,Spanish; Castilian,True
14150,38864,Magnolia caricifragrans,Hojarasco,Spanish; Castilian,True
14152,38865,Magnolia cespedesii,Molinillo,Spanish; Castilian,True
14153,38866,Magnolia espinalii,Hojarasco de Espinal,Spanish; Castilian,True
14154,38867,Magnolia georgii,Cucharo,Spanish; Castilian,True
14156,38868,Magnolia gilbertoi,Cana bravo ,Spanish; Castilian,True
14159,38870,Magnolia hernandezii,Molinillo del rio Cauca,Spanish; Castilian,True
14160,38871,Magnolia henaoi,Hojarasco de Henao,Spanish; Castilian,True
14161,38872,Magnolia katiorum,Almanegra de Uraba,Spanish; Castilian,True
14162,38873,Magnolia narinensis,Cucharillo,Spanish; Castilian,True
14163,38874,Magnolia polyhypsophylla,Almenegra de Ventanas ,Spanish; Castilian,True
14164,38875,Magnolia santanderiana,Magnolio de Santander,Spanish; Castilian,True
14165,38876,Magnolia virolinensis,Platero,Spanish; Castilian,True
14166,38877,Magnolia wolfii,Hojarasco de Santa Rosa,Spanish; Castilian,True
14173,3898,Carettochelys insculpta,Pig-nosed Turtle,English,True
14174,39004,Magnolia liliifera,Montha,Thai,True
14175,39031,Magnolia boliviana,Granadilla,Spanish; Castilian,True
14177,39049,Pinus albicaulis,Whitebark Pine,English,True
14180,39068,Pinus palustris,Longleaf Pine,English,True
14182,39149,Cryptomeria japonica,Japanese Cedar,English,True
14183,39154,Podocarpus matudae,Sabino,Spanish; Castilian,True
14184,39181,Orthotrichum scanicum,Weißhaubiges Goldhaarmoos,German,True
14187,39296,Typhlias pearsei,Mexican Blind Brotula,English,True
14191,39315,Microtus gerbei,Pyrenean Pine Vole,English,True
14195,91209505,Squalus acanthias,Spiny Dogfish,English,True
14197,39331,Squatina occulta,Hidden Angelshark,English,True
14200,39336,Odontaspis noronhai,Bigeye Sand Tiger,English,True
14204,39337,Pseudocarcharias kamoharai,Crocodile Shark,English,True
14367,39339,Alopias vulpinus,Common Thresher,English,True
14369,39341,Isurus oxyrinchus,Shortfin Mako,English,True
14390,39374,Carcharhinus longimanus,Oceanic Whitetip Shark,English,True
14392,39378,Galeocerdo cuvier,Tiger Shark,English,True
14399,39381,Prionace glauca,Blue Shark,English,True
14402,39385,Sphyrna lewini,Scalloped Hammerhead,English,True
14407,39386,Sphyrna mokarran,Great Hammerhead,English,True
14408,39387,Sphyrna tiburo,Bonnethead Shark,English,True
14413,39388,Sphyrna zygaena,Smooth Hammerhead,English,True
14417,39589,Cephalotaxus harringtonii,Harrington's Plum Yew,English,True
14420,39590,Juniperus pseudosabina,Xin Jiang Fang Zhi Bai,Chinese,True
14423,39592,Abies religiosa,Sacred Fir,English,True
14425,39602,Pinus bungeana,Lace-bark Pine,English,True
14427,39606,Nageia fleuryi,Kim giao nui da,Vietnamese,True
14428,39608,Podocarpus costaricensis,Cipresillo,Spanish; Castilian,True
14431,4040,Catostomus cahita,Matalote Cahita,English,True
14435,4046,Catostomus microps,Modoc Sucker,English,True
14436,4049,Catostomus santaanae,Santa Ana Sucker,English,True
14437,4051,Catostomus warnerensis,Warner Sucker,English,True
14439,4052,Catostomus wigginsi,Opata sucker,English,True
14478,40956,Ariocarpus agavoides,Tamaulipas Living Rock Cactus,English,True
14483,40962,Echinocactus grusonii,Golden Barrel,English,True
14496,41214,Isanophis boonsongi,Boomsong’s Stream Snake,English,True
14504,41305,Lepus corsicanus,Corsican Hare,English,True
14509,41306,Lepus granatensis,Granada Hare,English,True
14513,41479,Talpa caeca,Mediterranean Mole,English,True
14516,41483,Talpa occidentalis,Iberian Mole,English,True
14519,41484,Talpa romana,Roman Mole,English,True
14523,41485,Talpa stankovici,Balkan Mole,English,True
14528,41736,Carcharhinus galapagensis,Galapagos Shark,English,True
14530,41830,Isistius brasiliensis,Cookie-cutter Shark,English,True
14531,42193,Agathis labillardieri,New Guinea Kauri,English,True
14533,16437966,Agathis robusta,Queensland Kauri Pine,English,True
14536,42198,Cephalotaxus fortunei,Fortune's Yew Plum,English,True
14539,42199,Cephalotaxus latifolia,Broad-leaved Plum Yew,English,True
14542,42200,Cephalotaxus sinensis,Chinese Plum Yew,English,True
14544,42201,Callitris arenaria,Bruce Cypress,English,True
14552,42202,Callitris endlicheri,Black Cypress-pine,English,True
14555,42203,Callitris macleayana,Stringybark Pine,English,True
14557,42204,Callitris muelleri,Illawarra Cypress-pine,English,True
14560,42205,Callitris canescens,Morrison's Cypress Pine,English,True
14568,42206,Callitris columellaris,White Cypress-pine,English,True
14570,42207,Callitris preissii,Rottnest Island Pine,English,True
14573,42208,Callitris rhomboidea,Port Jackson Pine,English,True
14577,42209,Callitris verrucosa,Mallee Pine,English,True
14583,42210,Calocedrus decurrens,Incense Cedar,English,True
14585,42212,Chamaecyparis obtusa,Hinoki Cypress,English,True
14587,42213,Chamaecyparis pisifera,Sawara Cypress,English,True
14590,42214,Chamaecyparis thyoides,Atlantic White Cedar,English,True
14592,42215,Cunninghamia lanceolata,Chinese Fir,English,True
14596,42216,Cupressus arizonica,Arizona Cypress,English,True
14599,42217,Cupressus chengiana,Cheng Cypress,English,True
14603,42218,Cupressus funebris,Funereal Cypress,English,True
14609,42219,Cupressus goveniana,Gowen Cypress,English,True
14613,42220,Cupressus guadalupensis,Guadalupe Cypress,English,True
14619,42221,Cupressus lusitanica,Mexican Cypress,English,True
14622,42222,Cupressus macnabiana,MacNab Cypress,English,True
14628,42224,Juniperus ashei,Ashe Juniper,English,True
14629,42225,Diselma archeri,Cheshunt Pine,English,True
14632,42226,Juniperus californica,California Juniper,English,True
14639,42227,Juniperus chinensis,Chinese Juniper,English,True
14659,42229,Juniperus communis,Common Juniper,English,True
14664,42231,Juniperus deppeana,Alligator Juniper,English,True
14668,42232,Juniperus excelsa,Greek Juniper,English,True
14674,42233,Juniperus flaccida,Drooping Juniper,English,True
14675,42234,Juniperus foetidissima,Stinking Juniper,English,True
14678,42235,Juniperus formosana,Formosan Juniper,English,True
14680,42236,Juniperus gracilior,Sabina,Spanish; Castilian,True
14686,42237,Juniperus horizontalis,Creeping Juniper,English,True
14689,42238,Juniperus indica,Black Juniper,English,True
14693,42239,Juniperus monosperma,One-seed Juniper,English,True
14696,42240,Juniperus monticola,Mexican Juniper,English,True
14699,42241,Juniperus osteosperma,Utah Juniper,English,True
14700,42242,Juniperus occidentalis,Western Juniper,English,True
14706,42243,Juniperus oxycedrus,Prickly Juniper,English,True
14709,42246,Juniperus procumbens,Creeping Juniper,English,True
14711,42247,Juniperus recurva,Drooping Juniper,English,True
14718,42248,Juniperus rigida,Needle Juniper,English,True
14726,42249,Juniperus sabina,Savin Juniper,English,True
14727,42251,Juniperus saltuaria,Fang Zhi Bai,Chinese,True
14732,42252,Juniperus scopulorum,Rocky Mountain Juniper,English,True
14734,42253,Juniperus semiglobosa,Pencil Cedar,English,True
14738,42254,Juniperus squamata,Nepalese Juniper,English,True
14744,42255,Juniperus thurifera,Spanish Juniper,English,True
14746,42256,Juniperus tibetica,Tibetan Juniper,English,True
14752,42257,Juniperus virginiana,Eastern Redcedar,English,True
14753,42258,Cupressus sargentii,Sargent Cypress,English,True
14755,42259,Libocedrus bidwillii,Cedar,English,True
14756,42261,Taxodium distichum,Bald Cypress,English,True
14763,42262,Thuja occidentalis,Northern White Cedar,English,True
14769,42263,Thuja plicata,Western Red-cedar,English,True
14773,42264,Thuja standishii,Japanese Arbor-vitae,English,True
14775,42265,Thujopsis dolabrata,Hiba Arbor-vitae,English,True
14776,42266,Phyllocladus aspleniifolius,Celery-top Pine,English,True
14778,42267,Phyllocladus hypophyllus,Celery Pine,English,True
14780,42268,Phyllocladus toatoa,Celery-top Pine,English,True
14783,42269,Phyllocladus trichomanoides,Celery Pine,English,True
14786,42271,Abies amabilis,Pacific Silver Fir,English,True
14789,42272,Abies balsamea,Balsam Fir,English,True
14797,42275,Abies cilicica,Cilician fir,English,True
14801,42276,Abies concolor,White Fir,English,True
14805,42278,Abies densa,Sikkim Fir,English,True
14806,42279,Abies durangensis,Durango Fir,English,True
14810,42280,Abies fabri,Faber’s Fir,English,True
14813,42281,Abies fargesii,Farges' Fir,English,True
14816,42282,Abies firma,Momi Fir,English,True
14819,42283,Abies forrestii,Forrest's Fir,English,True
14822,42284,Abies grandis,Grand Fir,English,True
14825,42286,Abies hickelii,Hickel's Fir,English,True
14829,42287,Abies holophylla,Needle Fir,English,True
14832,42288,Abies homolepis,Nikko Fir,English,True
14834,42289,Abies lasiocarpa,Subalpine Fir,English,True
14836,42290,Abies magnifica,Red Fir,English,True
14838,42291,Abies mariesii,Marie's Fir,English,True
14843,42294,Abies pindrow,Pindrow Fir,English,True
14844,42296,Abies procera,Noble Fir,English,True
14848,42297,Abies recurvata,Min Fir,English,True
14852,42298,Abies sachalinensis,Sakhalin Fir,English,True
14854,42302,Abies vejarii,Vejar's Fir,English,True
14856,42303,Cedrus atlantica,Atlas Cedar,English,True
14859,42304,Cedrus deodara,Deodar Cedar,English,True
14860,42306,Keteleeria davidiana,Tijian Yushan,Chinese,True
14863,42307,Keteleeria evelyniana,Yunnan Yushan,Chinese,True
