,assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
30971,9416110,23082,Windbalea viride,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Windbalea,viride,,,,"Rentz, 1993",Vulnerable,B1+2bd,2.3,,Global
30979,9424129,23161,Xylotoles costatus,ANIMALIA,ARTHROPODA,COLEOPTERA,INSECTA,CERAMBYCIDAE,Xylotoles,costatus,,,,"Pascoe, 1875",Endangered,D,3.1,Unknown,Global
30985,9426361,23187,Zaprochilus ninae,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Zaprochilus,ninae,,,,"(Brulle, 1835)",Vulnerable,B1+2bd,2.3,,Global
30999,9435718,2376,Atrophaneura jophon,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PAPILIONIDAE,Atrophaneura,jophon,,,,"(Gray, 1852)",Critically Endangered,B1+2ac,2.3,,Global
31000,9435950,2378,Losaria palu,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PAPILIONIDAE,Losaria,palu,,,,(Martin 1912),Data Deficient,,2.3,,Global
31016,9439765,2432,Austrosaga spinifer,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Austrosaga,spinifer,,,,"Rentz, 1993",Vulnerable,B1+2bd,2.3,,Global
31053,9466486,2671,Battus zetides,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PAPILIONIDAE,Battus,zetides,,,,"(Munroe, 1971)",Vulnerable,"A1c, B1+2c",2.3,,Global
31055,9466624,2673,Bayadera ishigakiana,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,EUPHAEIDAE,Bayadera,ishigakiana,,,,"Asahina, 1964",Endangered,B1+2c,2.3,,Global
31112,9476953,2754,Belocephalus micanopy,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Belocephalus,micanopy,,,,"Davis, 1914",Vulnerable,B1+2bd,2.3,,Global
31113,9477052,2755,Belocephalus sleighti,ANIMALIA,ARTHROPODA,ORTHOPTERA,INSECTA,TETTIGONIIDAE,Belocephalus,sleighti,,,,"Davis, 1914",Vulnerable,B1+2bd,2.3,,Global
31121,9482124,2797,Bhutanitis mansfieldi,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,PAPILIONIDAE,Bhutanitis,mansfieldi,,,,(Riley 1939),Data Deficient,,2.3,,Global
31135,9488617,2863,Boloria acrocnema,ANIMALIA,ARTHROPODA,LEPIDOPTERA,INSECTA,NYMPHALIDAE,Boloria,acrocnema,,,,"Gall &amp; Sperling, 1980",Vulnerable,D2,2.3,,Global
31143,9490176,2882,Boninthemis insularis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Boninthemis,insularis,,,,"(Matsumura, 1913)",Critically Endangered,B1+2c,2.3,,Global
31173,9502774,29600,Epigomphus verticicornis,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Epigomphus,verticicornis,,,,"Calvert, 1908",Endangered,B1ab(iii),3.1,Unknown,Global
31174,9503434,29602,Pseudagrion camerunense,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,COENAGRIONIDAE,Pseudagrion,camerunense,,,,"(Karsch, 1899)",Least Concern,,3.1,Unknown,Global & Pan-Africa
31175,9503838,29603,Perigomphus pallidistylus,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,GOMPHIDAE,Perigomphus,pallidistylus,,,,"(Belle, 1972)",Vulnerable,B1ab(iii),3.1,Unknown,Global
31191,9529988,2995,Brachythemis fuscopalliata,ANIMALIA,ARTHROPODA,ODONATA,INSECTA,LIBELLULIDAE,Brachythemis,fuscopalliata,,,,"(Selys, 1887)",Vulnerable,A2ac+3c,3.1,Decreasing,Global
