,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family
126,111965,3196,3253,0,3,0,7,Pyrochroidae
127,7197,2,136,0,0,0,0,Pythidae
128,0,0,0,0,0,0,0,Rhipiceridae
129,720,1104,796,9,0,3,56,Ripiphoridae
130,0,0,0,0,0,0,0,Salpingidae
131,1945725,50353,320522,522,61,43,1952,Scarabaeidae
132,67124,1873,7520,0,2,0,3,Scirtidae
133,12836,1216,2617,0,2,0,1,Scraptiidae
134,0,0,0,0,0,0,0,Scydmaenidae
135,681352,48487,78639,48,25,7,268,Silphidae
136,17827,1101,1063,2,0,0,15,Silvanidae
137,0,0,0,0,0,0,0,Spercheidae
138,0,0,0,0,0,0,0,Sphaeritidae
139,2640,3072,3676,2,1,0,3,Sphindidae
140,1007541,63083,490826,112,78,16,1392,Staphylinidae
141,0,0,0,0,0,0,0,Synchroidae
142,421242,13234,264122,65,23,9,445,Tenebrionidae
143,7197,2,136,0,0,0,0,Tetratomidae
144,5568,681,1025,0,1,0,0,Throscidae
145,7197,2,136,0,0,0,0,Trictenotomidae
146,19474,288,88,0,3,0,14,Trogossitidae
147,37872,244,83168,6,3,0,33,Zopheridae
148,0,0,0,0,0,0,0,Bourletiellidae
149,0,0,0,0,0,0,0,Brachystomellidae
150,2404,149,140,0,0,0,1,Dicyrtomidae
151,103781,6949,11221,1,4,0,13,Entomobryidae
152,625,540,149,0,1,0,1,Hypogastruridae
153,0,0,0,0,0,0,0,Isotomidae
154,5383,1102,1689,0,3,0,6,Katiannidae
155,11577,1504,5069,2,0,0,5,Neanuridae
156,0,0,0,0,0,0,0,Neelidae
157,0,0,0,0,0,0,0,Odontellidae
158,0,0,0,0,0,0,0,Oncopoduridae
159,0,0,0,0,0,0,0,Onychiuridae
160,0,0,0,0,0,0,0,Paronellidae
161,0,0,0,0,0,0,0,Poduridae
162,0,0,0,0,0,0,0,Sminthuridae
163,7197,2,136,0,0,0,0,Tomoceridae
164,0,0,0,0,0,0,0,Tullbergiidae
165,4238,135,11056,2,2,0,14,Anisolabididae
166,0,0,0,0,0,0,0,Apachyidae
167,0,0,0,0,0,0,0,Chelisochidae
168,7034,426,21184,0,1,0,3,Forficulidae
169,0,0,0,0,0,0,0,Labiduridae
170,0,0,0,0,0,0,0,Labiidae
171,0,0,0,0,0,0,0,Pygidicranidae
172,69015,117,363,1,0,0,6,Campodeidae
173,0,0,0,0,0,0,0,Japygidae
174,0,0,0,0,0,0,0,Parajapygidae
175,0,0,0,0,0,0,0,Projapygoidea
176,32751,349,1365,4,0,0,19,Acartophthalmidae
177,186199,15112,145690,326,28,56,1363,Acroceridae
178,127707,6864,20094,10,3,1,48,Agromyzidae
179,27886,78,1331,0,1,0,0,Anisopodidae
180,148898,11041,63296,1,6,0,13,Anthomyiidae
181,118,15,254,2,0,0,7,Anthomyzidae
182,0,0,0,0,0,0,0,Apioceridae
183,0,0,0,0,0,0,0,Apsilocephalidae
184,863332,49974,97309,169,37,11,627,Asilidae
185,0,0,0,0,0,0,0,Asteiidae
186,0,0,0,0,0,0,0,Atelestidae
187,0,0,0,0,0,0,0,Athericidae
188,0,0,0,0,0,0,0,Aulacigastridae
