internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
132523146,Hubbsina turneri,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Hubbsina,turneri,,,,,"(de Buen, 1940)","Fernando de Buén described<em>&#160;Hubbsina turneri</em> after specimens he collected in August 1940 in the Presa Cointzio, Río Grande de Morelia drainage. In 1983, Uyeno <em>et al</em>. published studies on the Karyotypes of Goodeids and A. Radda attached importance to these results, According to identical Karyotypes, he transfered 1984 this species into the genus <em>Girardinichthys</em>. Though phylogenetic results since the early 2000's (Doadrio and Domínguez, 2004) supported the individuality of the genus <em>Hubbsina</em>, Radda held onto his system, in 2004 raising the stock from the Lago Zacapú to species rank describing it as <em>Girardinichthys ireneae. </em>This stock is&#160;now regarded as subpopulation of <em>Hubbsina turneri</em>. According to its affiliation to three drainages, three subpopulations are distinguished: The Río Grande de Morelia subpopulation (type subpopulation), the Laguna Yuriría subpopulation and the Río Angulo subpopulation. The first two subpopulations are regarded Extinct. This species is here considered valid in the genus <em>Hubbsina </em>de Buen, 1940 following&#160;Ramírez-Herrejón&#160;<em>et al.</em> (2010). This differs from Eschmeyer <em>et al.</em> (2018) which consider it meanwhile valid in the genus&#160;<em>Girardinichthys </em>Bleeker, 1860."
10267,Hungerfordia pelewensis,ANIMALIA,MOLLUSCA,ARCHITAENIOGLOSSA,GASTROPODA,DIPLOMMATINIDAE,Hungerfordia,pelewensis,,,,,"Beddome, 1889",
10767,Ictalurus australis,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ICTALURIDAE,Ictalurus,australis,,,,,"(Meek, 1904)",
10769,Ictalurus mexicanus,ANIMALIA,CHORDATA,SILURIFORMES,ACTINOPTERYGII,ICTALURIDAE,Ictalurus,mexicanus,,,,,"(Meek, 1904)",
1078,Ambloplites cavifrons,ANIMALIA,CHORDATA,PERCIFORMES,ACTINOPTERYGII,CENTRARCHIDAE,Ambloplites,cavifrons,,,,,"Cope, 1868",
10803,Iguanognathus werneri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,COLUBRIDAE,Iguanognathus,werneri,,,,,"Boulenger, 1898",Known from the type specimen only.
132521900,Ilyodon whitei,ANIMALIA,CHORDATA,CYPRINODONTIFORMES,ACTINOPTERYGII,GOODEIDAE,Ilyodon,whitei,,,,,(Meek 1904),"The types of this species were collected by E.W. Nelson from a tributary to the Río Balsas near Yautepec, state of Morelos, at the beginning of the last century and described by Meek as <em>Goodea whitei</em> in 1904. C. Hubbs transfered the species into the genus <em>Balsadichthys</em>, finally Miller and Fitzsimons (1971) into the genus <em>Ilyodon</em>. In 1983, Meyer and Förster described <em>Ilyodon lennoni</em> from the Río Chacembero, and in 2000 Paulo-Maya and Trujillo-Jiménez <em>Ilyodon cortesae</em> from the Río Tacambaro. Here we consider <em>Ilyodon lennoni</em> and <em>Ilyodon cortesae</em> synonyms of <em>Ilyodon&#160;whitei</em> following&#160;Beltrán-López <em>et al.</em> (2017). According to this paper, five subpopulations can be inferred: The Río Amacuzac subpopulation (type subpopulation), the Río Atoyac subpopulation, the Upper Río Cutzmala subpopulation, the Upper Río Coahuayana subpopulation and the Western Río Balsas subpopulation."
11058,Kubaryia pilikia,ANIMALIA,MOLLUSCA,LITTORINIMORPHA,GASTROPODA,ASSIMINEIDAE,Kubaryia,pilikia,,,,,"Clench, 1948",
11150,Lagocephalus gloveri,ANIMALIA,CHORDATA,TETRAODONTIFORMES,ACTINOPTERYGII,TETRAODONTIDAE,Lagocephalus,gloveri,,,,,"Abe &amp; Tabeta, 1983","<span class=""sheader5""><span class=""sheader5"">Puffers of the genus&#160;<em>Lagocephalus</em>&#160;are globally distributed in warm shallow waters, however classification at the species level in&#160;<em>Lagocephalus</em>&#160;has not yet been studied in depth, causing confusion in the status of several species including&#160;<em>L. cheesemanii</em>,&#160;<em>L. gloveri</em>,&#160;<em>L. spadiceus</em>, and&#160;<em>L. wheeleri&#160;</em>(Matsuura&#160;<em>et al.&#160;</em>2011).&#160;</span>"
