,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,user_tweets_count,user_friends_count,user_followers_count,retweet_count,reply_count,quote_count,favorite_count,family,tweet_count,num_tweets_with_sentiment,mean_sentiment_polarity,standard_deviation_sentiment_polarity,sentiment_analysis_transformer_mean,sentiment_analysis_transformer_sd
49,49,49,49,3000,3624,4074,4,2,0,31,Ciidae,2,1,0.3024739583333333,0.0,0.9983200430870056,0.0
50,50,50,50,6764,516,688,0,0,0,3,Clambidae,1,1,1.0,0.0,-0.9892180562019348,0.0
51,51,51,51,164710,7550,12080,13,8,1,138,Cleridae,12,8,0.011616161616161613,0.09972094008399432,-0.9834923520684242,0.017185638435347397
52,52,52,52,6945660,114285,785329,98,61,16,721,Coccinellidae,105,36,0.07419401354818021,0.20298603968409826,-0.5054051594601737,0.7946783869203727
53,53,53,53,8410,3809,4913,2,4,0,9,Corylophidae,2,2,0.22123697916666668,0.1148864377037206,0.0030555129051208496,1.407516596732108
54,54,54,54,32755,3601,4842,2,4,1,10,Cryptophagidae,6,5,0.14231297348484848,0.10725053301298937,0.20220811367034913,1.0905157340353204
55,55,55,55,7882,550,895,0,0,0,0,Cucujidae,2,1,0.05568181818181818,0.0,-0.9791661500930786,0.0
56,56,56,56,4429415,31621,509066,129,41,19,907,Curculionidae,95,54,0.10465838945005612,0.1823599645011692,-0.5087421922772019,0.7848555710036965
57,57,57,57,0,0,0,0,0,0,0,Dascillidae,0,0,,,,
58,58,58,58,266846,16416,68571,6,10,0,26,Dermestidae,24,12,0.10711880711880713,0.13723612490893886,-0.5003142207860947,0.8777566890000099
59,59,59,59,0,0,0,0,0,0,0,Derodontidae,0,0,,,,
60,60,60,60,0,0,0,0,0,0,0,Discolomatidae,0,0,,,,
61,61,61,61,2332,1014,1869,0,1,0,4,Drilidae,1,0,,,,
62,62,62,62,0,0,0,0,0,0,0,Dryopidae,0,0,,,,
63,63,63,63,385010,22911,335901,22,33,4,418,Elateridae,32,19,0.1637824018087176,0.22504502895141565,-0.27378822941529124,0.9124827851284388
64,64,64,64,34936,2517,1814,3,0,0,79,Elmidae,6,3,0.0,0.0,-0.9934511780738831,0.0017996095661910966
65,65,65,65,16332,4469,9726,53,5,9,254,Endomychidae,5,3,0.27026909722222225,0.2474103728366441,0.17469412088394165,1.0400802812369447
66,66,66,66,0,0,0,0,0,0,0,Epimetopidae,0,0,,,,
67,67,67,67,194696,5998,118517,22,11,2,226,Erotylidae,12,3,0.19606274801587303,0.17000197800680494,0.33636216322580975,1.147459183216437
68,68,68,68,0,0,0,0,0,0,0,Eucinetidae,0,0,,,,
69,69,69,69,6930,1432,1849,0,1,0,4,Eucnemidae,2,2,0.11071428571428572,0.15657364440559268,-0.13981449604034424,1.1006711023018803
70,70,70,70,0,0,0,0,0,0,0,Eulichadidae,0,0,,,,
71,71,71,71,360,552,398,0,0,0,7,Georissidae,1,0,,,,
72,72,72,72,84810,6944,9337,6,7,1,48,Geotrupidae,10,7,-0.059300595238095236,0.16341567504282564,-0.7050880704607282,0.7301134315079155
73,73,73,73,0,0,0,0,0,0,0,Glaphyridae,0,0,,,,
74,74,74,74,0,0,0,0,0,0,0,Glaresidae,0,0,,,,
75,75,75,75,0,0,0,0,0,0,0,Helophoridae,0,0,,,,
76,76,76,76,1188,109,555,0,0,0,2,Helotidae,1,0,,,,
77,77,77,77,13961,518,824,0,0,0,1,Heteroceridae,2,2,0.06818181818181818,0.09642365197998376,-0.9591964185237885,0.031614898977052254
78,78,78,78,96390,5526,12921,1,10,2,34,Histeridae,14,10,0.027310606060606056,0.09911229323982992,-0.5510363399982452,0.8019071725434156
79,79,79,79,8268,2325,3885,20,1,5,113,Hybosoridae,4,2,-0.01988636363636364,0.0281235651608286,0.010424405336380005,1.3885406946865027
80,80,80,80,6863,1102,3027,1,0,0,14,Hydraenidae,2,2,0.13636363636363635,0.0,-0.9785521328449249,0.0012346919271266407
81,81,81,81,6116,964,2880,0,0,0,13,Hydrochidae,1,1,0.0,0.0,-0.9859137535095215,0.0
82,82,82,82,226368,11623,49488,13,4,2,138,Hydrophilidae,15,11,0.14326790633608816,0.2886324037800573,-0.7497553337704052,0.5883173966132852
83,83,83,83,0,0,0,0,0,0,0,Ithyceridae,0,0,,,,
84,84,84,84,7197,2,136,0,0,0,0,Kateretidae,1,1,0.13636363636363635,0.0,-0.9417444467544556,0.0
85,85,85,85,7197,2,136,0,0,0,0,Laemophloeidae,1,1,0.05568181818181818,0.0,-0.9791661500930786,0.0
86,86,86,86,1838319,48012,128451,63,156,4,436,Lampyridae,191,39,0.13461281773781775,0.23223259213165756,-0.6314744613109491,0.7374840358008717
87,87,87,87,0,0,0,0,0,0,0,Languriidae,0,0,,,,
88,88,88,88,30461,5645,4168,0,4,0,17,Latridiidae,3,3,0.33125,0.3846162860566359,0.33478522300720215,1.1253614948412205
89,89,89,89,52665,8065,13362,8,2,0,20,Leiodidae,10,8,0.07616151751893939,0.10781733129188377,-0.6580722630023956,0.675073712239225
90,90,90,90,7917,1106,932,1,0,0,15,Limnichidae,3,2,0.06818181818181818,0.09642365197998376,-0.9775837361812592,0.007940845581089033
91,91,91,91,4041043,50988,91142,317,126,16,910,Lucanidae,247,45,0.03103823953823953,0.08964766113135574,-0.8271753589312235,0.4726482477495827
92,92,92,92,0,0,0,0,0,0,0,Lutrochidae,0,0,,,,
93,93,93,93,3761899,30715,110096,53,45,6,655,Lycidae,45,3,0.07142857142857142,0.12371791482634838,-0.9830054839452108,0.005138782243873472
94,94,94,94,7197,2,136,0,0,0,0,Lymexylidae,1,1,0.13636363636363635,0.0,-0.9654122591018677,0.0
95,95,95,95,0,0,0,0,0,0,0,Mauroniscidae,0,0,,,,
96,96,96,96,0,0,0,0,0,0,0,Melandryidae,0,0,,,,
97,97,97,97,257888,12598,118203,37,16,6,406,Meloidae,18,5,0.4563690476190476,0.3700844450350705,0.494480037689209,0.7135526785900845
98,98,98,98,29716,5096,18513,2,1,0,44,Melyridae,7,4,-0.02083333333333333,0.04166666666666666,-0.8874433785676956,0.19393433030692822
99,99,99,99,3229202,277628,525801,29,195,7,723,Monotomidae,261,216,0.19807870387767668,0.2989008237211699,-0.38547495035109697,0.8799097996379776
100,100,100,100,63226,475,3194,0,1,0,1,Mordellidae,2,1,0.0,0.0,-0.9904579520225525,0.0
101,101,101,101,35320,3616,8185,2,1,0,17,Mycetophagidae,4,4,0.16747455018939394,0.12513890003670022,-0.4639092832803726,0.9754229877679238
102,102,102,102,54864,809,7434,0,0,0,1,Nemonychidae,2,0,,,,
103,103,103,103,163920,11217,37741,27,13,0,157,Nitidulidae,19,15,0.11347474747474745,0.09607564743333544,-0.718575914700826,0.6620820795975988
104,104,104,104,0,0,0,0,0,0,0,Nosodendridae,0,0,,,,
105,105,105,105,0,0,0,0,0,0,0,Ochodaeidae,0,0,,,,
106,106,106,106,55981,5052,5028,2,5,0,29,Oedemeridae,7,4,0.24375,0.37989856102210573,-0.4735531806945801,0.970862187404512
107,107,107,107,0,0,0,0,0,0,0,Omalisidae,0,0,,,,
108,108,108,108,0,0,0,0,0,0,0,Omethidae,0,0,,,,
109,109,109,109,0,0,0,0,0,0,0,Orsodacnidae,0,0,,,,
110,110,110,110,12617,3071,2618,0,1,0,0,Passalidae,2,2,0.08333333333333334,0.11785113019775792,-0.9822402894496918,0.012781073957777125
111,111,111,111,0,0,0,0,0,0,0,Passandridae,0,0,,,,
112,112,112,112,0,0,0,0,0,0,0,Perimylopidae,0,0,,,,
113,113,113,113,77054,2206,5985,0,4,0,0,Phalacridae,4,3,0.04882154882154882,0.08456140306312697,-0.33195245265960693,1.1398980273227293
114,114,114,114,154261,13541,128175,990,46,108,4421,Phengodidae,11,7,0.26352813852813856,0.2582101622044913,-0.415032046181815,0.9586359515778963
115,115,115,115,0,0,0,0,0,0,0,Phloeostichidae,0,0,,,,
116,116,116,116,0,0,0,0,0,0,0,Phloiophilidae,0,0,,,,
117,117,117,117,395,71,21,0,0,0,0,Pleocomidae,1,1,0.0,0.0,-0.9809057116508484,0.0
118,118,118,118,430,640,626,1,0,1,23,Prionoceridae,2,1,0.1875,0.0,-0.9830337166786194,0.0
119,119,119,119,0,0,0,0,0,0,0,Propalticidae,0,0,,,,
120,120,120,120,0,0,0,0,0,0,0,Prostomidae,0,0,,,,
121,121,121,121,0,0,0,0,0,0,0,Protocucujidae,0,0,,,,
122,122,122,122,226,410,229,0,0,0,0,Psephenidae,1,1,0.0,0.0,-0.997501790523529,0.0
123,123,123,123,42200,2410,8686,13,3,2,41,Ptiliidae,8,8,0.2650804924242424,0.3479987307024767,-0.25007665157318115,0.9437520117446979
124,124,124,124,0,0,0,0,0,0,0,Ptilodactylidae,0,0,,,,
125,125,125,125,46573,5248,14127,6,7,2,42,Ptinidae,9,8,0.21605113636363635,0.2159402211836702,-0.4747866839170456,0.9055210548160944
126,126,126,126,111965,3196,3253,0,3,0,7,Pyrochroidae,3,3,0.058333333333333334,0.19418633662885074,-0.3214681347211202,1.1336818340280972
127,127,127,127,7197,2,136,0,0,0,0,Pythidae,1,1,0.0909090909090909,0.0,0.8575807213783264,0.0
128,128,128,128,0,0,0,0,0,0,0,Rhipiceridae,0,0,,,,
129,129,129,129,720,1104,796,9,0,3,56,Ripiphoridae,2,0,,,,
130,130,130,130,0,0,0,0,0,0,0,Salpingidae,0,0,,,,
131,131,131,131,1945725,50353,320522,522,61,43,1952,Scarabaeidae,113,66,0.09026802112029383,0.15268014421922266,-0.48773779381405225,0.7743119647136387
132,132,132,132,67124,1873,7520,0,2,0,3,Scirtidae,6,4,0.09659090909090907,0.12079711150834828,0.4956781715154648,0.9880886415312009
133,133,133,133,12836,1216,2617,0,2,0,1,Scraptiidae,2,1,-0.4000000000000001,0.0,-0.8664352893829346,0.0
134,134,134,134,0,0,0,0,0,0,0,Scydmaenidae,0,0,,,,
135,135,135,135,681352,48487,78639,48,25,7,268,Silphidae,34,29,0.23725045767610425,0.2943751148221377,-0.5336654330122059,0.7882704247667606
136,136,136,136,17827,1101,1063,2,0,0,15,Silvanidae,5,4,0.20426136363636366,0.2860242923832403,-0.4846866726875305,0.9867512571528273
137,137,137,137,0,0,0,0,0,0,0,Spercheidae,0,0,,,,
138,138,138,138,0,0,0,0,0,0,0,Sphaeritidae,0,0,,,,
139,139,139,139,2640,3072,3676,2,1,0,3,Sphindidae,1,1,0.3024739583333333,0.0,0.9983200430870056,0.0
140,140,140,140,1007541,63083,490826,112,78,16,1392,Staphylinidae,141,103,0.10943606487902603,0.1797501912240366,-0.5747855791767824,0.7458472928662581
141,141,141,141,0,0,0,0,0,0,0,Synchroidae,0,0,,,,
142,142,142,142,421242,13234,264122,65,23,9,445,Tenebrionidae,45,22,0.0514694018103109,0.1261987842219635,-0.7678541161797263,0.5658361156965858
143,143,143,143,7197,2,136,0,0,0,0,Tetratomidae,1,1,0.13636363636363635,0.0,-0.9458849430084229,0.0
144,144,144,144,5568,681,1025,0,1,0,0,Throscidae,1,1,0.22142857142857145,0.0,0.6384775042533875,0.0
145,145,145,145,7197,2,136,0,0,0,0,Trictenotomidae,1,1,0.13636363636363635,0.0,-0.9786131381988525,0.0
146,146,146,146,19474,288,88,0,3,0,14,Trogossitidae,2,2,0.0,0.0,-0.9751515984535217,0.0
147,147,147,147,37872,244,83168,6,3,0,33,Zopheridae,1,0,,,,
148,148,148,148,0,0,0,0,0,0,0,Bourletiellidae,0,0,,,,
149,149,149,149,0,0,0,0,0,0,0,Brachystomellidae,0,0,,,,
150,150,150,150,2404,149,140,0,0,0,1,Dicyrtomidae,1,1,0.19,0.0,-0.9978320598602295,0.0
151,151,151,151,103781,6949,11221,1,4,0,13,Entomobryidae,6,6,0.0853219696969697,0.20046833616583049,-0.001583168903986613,1.0848402565638342
152,152,152,152,625,540,149,0,1,0,1,Hypogastruridae,1,1,0.5416666666666666,0.0,0.9972909092903137,0.0
153,153,153,153,0,0,0,0,0,0,0,Isotomidae,0,0,,,,
154,154,154,154,5383,1102,1689,0,3,0,6,Katiannidae,2,2,-0.125,0.1767766952966369,-0.9966674447059631,0.002894645555728202
155,155,155,155,11577,1504,5069,2,0,0,5,Neanuridae,1,1,0.13636363636363635,0.0,-0.9897223711013794,0.0
156,156,156,156,0,0,0,0,0,0,0,Neelidae,0,0,,,,
157,157,157,157,0,0,0,0,0,0,0,Odontellidae,0,0,,,,
158,158,158,158,0,0,0,0,0,0,0,Oncopoduridae,0,0,,,,
159,159,159,159,0,0,0,0,0,0,0,Onychiuridae,0,0,,,,
160,160,160,160,0,0,0,0,0,0,0,Paronellidae,0,0,,,,
161,161,161,161,0,0,0,0,0,0,0,Poduridae,0,0,,,,
162,162,162,162,0,0,0,0,0,0,0,Sminthuridae,0,0,,,,
163,163,163,163,7197,2,136,0,0,0,0,Tomoceridae,1,1,0.13636363636363635,0.0,-0.9765949249267578,0.0
164,164,164,164,0,0,0,0,0,0,0,Tullbergiidae,0,0,,,,
165,165,165,165,4238,135,11056,2,2,0,14,Anisolabididae,1,0,,,,
166,166,166,166,0,0,0,0,0,0,0,Apachyidae,0,0,,,,
167,167,167,167,0,0,0,0,0,0,0,Chelisochidae,0,0,,,,
168,168,168,168,7034,426,21184,0,1,0,3,Forficulidae,2,1,0.1,0.0,-0.9948611855506897,0.0
169,169,169,169,0,0,0,0,0,0,0,Labiduridae,0,0,,,,
170,170,170,170,0,0,0,0,0,0,0,Labiidae,0,0,,,,
171,171,171,171,0,0,0,0,0,0,0,Pygidicranidae,0,0,,,,
172,172,172,172,69015,117,363,1,0,0,6,Campodeidae,3,1,0.13636363636363635,0.0,0.5226771831512451,0.0
173,173,173,173,0,0,0,0,0,0,0,Japygidae,0,0,,,,
174,174,174,174,0,0,0,0,0,0,0,Parajapygidae,0,0,,,,
175,175,175,175,0,0,0,0,0,0,0,Projapygoidea,0,0,,,,
176,176,176,176,32751,349,1365,4,0,0,19,Acartophthalmidae,2,2,0.18409090909090908,0.2603438603459561,-0.9822518229484558,0.01749734845299468
177,177,177,177,186199,15112,145690,326,28,56,1363,Acroceridae,14,9,0.21263888888888888,0.4084802031786717,-0.26463165548112655,0.9522581486786409
178,178,178,178,127707,6864,20094,10,3,1,48,Agromyzidae,10,6,0.06365079365079365,0.06967590451831936,-0.6404760380585989,0.8022672466844688
179,179,179,179,27886,78,1331,0,1,0,0,Anisopodidae,1,1,0.3357142857142857,0.0,-0.9843822121620178,0.0
180,180,180,180,148898,11041,63296,1,6,0,13,Anthomyiidae,9,9,-0.0006613756613756482,0.2661314190860255,-0.9590772787729899,0.07577419310032109
181,181,181,181,118,15,254,2,0,0,7,Anthomyzidae,1,1,0.65,0.0,0.9811302423477173,0.0
182,182,182,182,0,0,0,0,0,0,0,Apioceridae,0,0,,,,
183,183,183,183,0,0,0,0,0,0,0,Apsilocephalidae,0,0,,,,
184,184,184,184,863332,49974,97309,169,37,11,627,Asilidae,71,48,0.2944243401274652,0.3602368171166786,-0.689598198980093,0.6767709606820561
185,185,185,185,0,0,0,0,0,0,0,Asteiidae,0,0,,,,
186,186,186,186,0,0,0,0,0,0,0,Atelestidae,0,0,,,,
187,187,187,187,0,0,0,0,0,0,0,Athericidae,0,0,,,,
188,188,188,188,0,0,0,0,0,0,0,Aulacigastridae,0,0,,,,
189,189,189,189,0,0,0,0,0,0,0,Australimyzidae,0,0,,,,
190,190,190,190,0,0,0,0,0,0,0,Austroleptidae,0,0,,,,
191,191,191,191,0,0,0,0,0,0,0,Axymyiidae,0,0,,,,
192,192,192,192,801740,48186,169042,29,39,1,193,Bibionidae,46,37,0.20657964782964786,0.22542532239810226,-0.6046161393861513,0.7308326650028721
193,193,193,193,0,0,0,0,0,0,0,Blephariceridae,0,0,,,,
194,194,194,194,859354,64019,103621,36,40,1,366,Bombyliidae,76,55,0.29732189754689753,0.3652480440658984,-0.5067292581905019,0.8348288859961734
195,195,195,195,0,0,0,0,0,0,0,Braulidae,0,0,,,,
196,196,196,196,703683,24093,94718,21,18,0,106,Calliphoridae,30,15,0.12212121212121213,0.1380401985609003,0.07714364926020305,1.014798647468162
197,197,197,197,0,0,0,0,0,0,0,Canthyloscelidae,0,0,,,,
198,198,198,198,20093715,179082,173330,6313,340,45,19585,Carnidae,490,433,0.10493848966820964,0.2994816280716163,-0.33623065945733227,0.9098070595191455
199,199,199,199,157554,4282,8483,5,2,0,24,Cecidomyiidae,12,7,0.3151780560709132,0.2726492105520835,-0.4092257874352591,0.9551739412052659
200,200,200,200,100705,9078,4819,20,6,1,85,Ceratopogonidae,14,7,0.037012987012987004,0.21161891673224667,-0.9783028619629996,0.015467563774722588
201,201,201,201,4330,482,374,0,1,0,1,Chaoboridae,1,1,0.3,0.0,0.9888344407081604,0.0
202,202,202,202,1315569,18605,132068,20,22,0,113,Chironomidae,32,25,0.05869323593073592,0.08661820748802224,-0.6398198771476745,0.7085121261982893
203,203,203,203,100503,6875,45184,11,15,1,144,Chloropidae,11,5,0.25906250000000003,0.06617617414376233,0.20472196340560914,1.0821914598970757
204,204,204,204,1803,124,66,0,0,0,12,Chyromyidae,1,1,0.0,0.0,-0.9789506793022156,0.0
205,205,205,205,0,0,0,0,0,0,0,Clusiidae,0,0,,,,
206,206,206,206,0,0,0,0,0,0,0,Coelopidae,0,0,,,,
207,207,207,207,233136,13198,49878,21,8,2,82,Conopidae,14,8,0.22679924242424246,0.24928236811337146,-0.6657027155160904,0.6855152924194868
208,208,208,208,0,0,0,0,0,0,0,Corethrellidae,0,0,,,,
209,209,209,209,2347500,47001,209900,165,46,12,397,Culicidae,147,109,-0.01415502502085071,0.18002320488948528,-0.5721746830765261,0.7388116102249938
210,210,210,210,0,0,0,0,0,0,0,Deuterophlebiidae,0,0,,,,
211,211,211,211,28183,851,549,0,1,0,0,Diadocidiidae,1,1,0.0,0.0,0.7490795254707336,0.0
